Country,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r
Afghanistan,35.66780209225043,3.483114137407181,15.831562541727992,0.1026422271952834,0.523835752119729,21.36337968173854,7.057697954414172,4.612259382938521,16.42590131520838,23.749158708573933,0.41262828341289814
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,186.16683228380228,3.7142387496911136,70.80180194083322,0.0882670370730784,0.45592540352179795,140.01489989698123,49.13222219757404,15.754865045644234,77.09206589122661,164.99281912085982,2.5134754857124357
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.17692688879003476,0.0007059244420592481,0.06580248435073094,0.0,0.0,0.1368831362443209,0.04982572069509053,0.014843239182804282,0.07224947995309407,0.16528726545888048,0.002776754104906053
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.8265182264536824,0.003297743049975442,0.30739789205447005,0.0,0.0,0.6394528710349775,0.2327620554587082,0.06934054969314643,0.3375151874393646,0.7721434454464194,0.012971673744902245
Argentina,3783.1752399712955,122.25680156146848,1502.665106520955,3.1369011725742912,16.203024145127294,2719.58664213522,953.9801014606982,350.7388265300558,1618.6119183202238,3192.0176709236484,50.9278503323779
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,28.294965713711832,0.4196127554060121,10.592121525648562,0.009244046328681128,0.04771365791644804,21.621489553384897,7.615524869971142,2.3268123552179167,11.58183295108846,25.567094518926684,0.3883414316486215
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,25.93441380697453,0.4094426645812236,9.97188420664444,0.008937845529750117,0.04608649812162042,19.374910971995803,7.002043411430096,2.328492876948555,10.845178621324255,23.237267940288113,0.3955959245345267
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,38.0319422637266,0.1517444737007262,14.144804686000493,0.0,0.0,29.42419645834553,10.710463207054273,3.190680735233121,15.53064132281917,35.529906052445426,0.5968869543830523
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,17.25869139555985,0.06814839034800343,6.402401313872006,0.0,0.0,13.380694001265542,4.8590119226218835,1.4351223089512788,7.033786497418358,16.13411663847565,0.2681005105465547
