Country,Drug,Impact Score
Afghanistan,3TC,35.66780209225043
Albania,3TC,0.0
Algeria,3TC,186.16683228380228
American Samoa,3TC,0.0
Andorra,3TC,0.17692688879003476
Angola,3TC,0.0
Anguilla,3TC,0.0
Antigua and Barbuda,3TC,0.8265182264536824
Argentina,3TC,3783.1752399712955
Armenia,3TC,0.0
Aruba,3TC,0.0
Australia,3TC,28.294965713711832
Austria,3TC,0.0
Azerbaijan,3TC,25.93441380697453
Bahamas,3TC,0.0
Bahrain,3TC,38.0319422637266
Bangladesh,3TC,0.0
Barbados,3TC,17.25869139555985
Belarus,3TC,131.77771577907288
Belgium,3TC,0.0
Belize,3TC,14.648975571892354
Benin,3TC,400.55619302486167
Bermuda,3TC,0.8773595101021402
Bhutan,3TC,1.0187660146696866
Bolivia,3TC,0.0
"Bonaire, Saint Eustatius and Saba",3TC,0.0
Bosnia and Herzegovina,3TC,0.0
Botswana,3TC,2332.291708960954
Brazil,3TC,26289.592343782457
British Virgin Islands,3TC,0.0
Brunei Darussalam,3TC,0.0
Bulgaria,3TC,0.0
Burkina Faso,3TC,0.0
Burundi,3TC,2295.019424460172
Cambodia,3TC,3983.284772430735
Cameroon,3TC,38770.317383011155
Canada,3TC,0.0
Cape Verde,3TC,0.0
Cayman Islands,3TC,0.0
Central African Republic,3TC,0.0
Chad,3TC,0.0
Chile,3TC,123.01600595397838
China,3TC,0.0
"China, Hong Kong SAR",3TC,0.0
"China, Macao SAR",3TC,0.0
Colombia,3TC,0.0
Comoros,3TC,0.0
Congo,3TC,426.3333008211798
Cook Islands,3TC,0.0
Costa Rica,3TC,25.390574967487737
Cote d'Ivoire,3TC,0.0
Croatia,3TC,0.0
Cuba,3TC,98.76440227568152
Curacao,3TC,0.0
Cyprus,3TC,0.0
Czech Republic,3TC,0.0
Democratic People's Republic of Korea,3TC,0.0
Democratic Republic of the Congo,3TC,0.0
Denmark,3TC,0.0
Djibouti,3TC,117.42533331618861
Dominica,3TC,0.0
Dominican Republic,3TC,0.0
Ecuador,3TC,119.06077104093912
Egypt,3TC,94.48874702884274
El Salvador,3TC,499.7751377878664
Equatorial Guinea,3TC,0.0
Eritrea,3TC,1196.8442446584243
Estonia,3TC,0.0
Ethiopia,3TC,0.0
Fiji,3TC,31.61327875031922
Finland,3TC,0.0
France,3TC,0.0
French Polynesia,3TC,0.0
Gabon,3TC,222.11534679193605
Gambia,3TC,0.0
Georgia,3TC,0.0
Germany,3TC,0.0
Ghana,3TC,1223.3248678269026
Greece,3TC,0.0
Greenland,3TC,0.0
Grenada,3TC,0.0
Guam,3TC,0.0
Guatemala,3TC,0.0
Guinea,3TC,0.0
Guinea-Bissau,3TC,164.99853569822392
Guyana,3TC,0.0
Haiti,3TC,0.0
Honduras,3TC,635.1820353228295
Hungary,3TC,0.0
Iceland,3TC,0.0
India,3TC,0.0
Indonesia,3TC,503.6942488836783
Iran,3TC,0.0
Iraq,3TC,0.0
Ireland,3TC,0.0
Israel,3TC,0.0
Italy,3TC,0.0
Jamaica,3TC,0.0
Japan,3TC,0.0
Jordan,3TC,0.0
Kazakhstan,3TC,281.3977990813621
Kenya,3TC,84805.44955355556
Kiribati,3TC,0.2079844447792558
Kuwait,3TC,0.0
Kyrgyzstan,3TC,152.22168870014215
Lao People's Democratic Republic,3TC,0.0
Latvia,3TC,0.0
Lebanon,3TC,23.33645396551421
Lesotho,3TC,2023.475108298835
Liberia,3TC,157.97904603078848
Libya,3TC,0.0
Lithuania,3TC,0.0
Luxembourg,3TC,0.0
Madagascar,3TC,248.3944535940743
Malawi,3TC,56656.199923396496
Malaysia,3TC,305.10004188841623
Maldives,3TC,0.06192275021170906
Mali,3TC,624.6184305207744
Malta,3TC,0.0
Marshall Islands,3TC,1.2964608926296695
Mauritania,3TC,0.0
Mauritius,3TC,0.0
Mexico,3TC,5098.529186516199
Micronesia (Federated States of),3TC,0.0
Monaco,3TC,0.0
Mongolia,3TC,0.0
Montenegro,3TC,0.0
Montserrat,3TC,0.0
Morocco,3TC,264.67700097487784
Mozambique,3TC,0.0
Myanmar,3TC,5782.9860526668235
Namibia,3TC,7435.697663128915
Nauru,3TC,0.0
Nepal,3TC,171.4180881934528
Netherlands,3TC,0.0
New Caledonia,3TC,0.0
New Zealand,3TC,0.0
Nicaragua,3TC,0.0
Niger,3TC,0.0
Nigeria,3TC,11257.844956148043
Niue,3TC,0.0
Northern Mariana Islands,3TC,0.0
Norway,3TC,0.0
Oman,3TC,0.0
Pakistan,3TC,0.0
Palau,3TC,0.0
Panama,3TC,0.0
Papua New Guinea,3TC,0.0
Paraguay,3TC,0.0
Peru,3TC,0.0
Philippines,3TC,1047.283332444546
Poland,3TC,0.0
Portugal,3TC,0.0
Puerto Rico,3TC,26.543423520615466
Qatar,3TC,0.0
Republic of Korea,3TC,0.0
Republic of Moldova,3TC,0.0
Romania,3TC,0.0
Russia,3TC,0.0
Rwanda,3TC,4443.186966278944
Saint Kitts and Nevis,3TC,0.0
Saint Lucia,3TC,31.15926499373143
Saint Vincent and the Grenadines,3TC,5.818612429774615
Samoa,3TC,0.7221843130724568
San Marino,3TC,0.0
